都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,ＵＲＬ,備考
270008,,大阪府,,大阪府北部流域下水道事務所,,,,茨木市下穂積1丁目180,,34.808835,135.556633,,,,,,,,,,,,耐震性能A
270008,,大阪府,,穂積ポンプ場,,,,茨木市下穂積1丁目180,,34.808835,135.556633,,,,,,,,,,,,耐震性能A
270008,,大阪府,,中央水みらいセンター,,,,茨木市宮島3丁目1番1号,,34.78262,135.5721853,,,,,,,,,,,,耐震性能A
270008,,大阪府,,小阪合ポンプ場,,,,八尾市南小阪合町1丁目2番7号,,34.624611,135.613177,,,,,,,,,,,,耐震性能A
270008,,大阪府,,新家ポンプ場,,,,八尾市新家町1丁目97,,34.6439338,135.5988106,,,,,,,,,,,,耐震性能A
270008,,大阪府,,長吉ポンプ場,,,,八尾市南亀井町3丁目1番56号,,34.6153837,135.5757552,,,,,,,,,,,,耐震性能A
270008,,大阪府,,萱島ポンプ場,,,,寝屋川市東神田町193-1,,34.752956,135.613899,,,,,,,,,,,,耐震性能A
270008,,大阪府,,太平ポンプ場,,,,寝屋川市讃良西町7番21号,,34.7429429,135.6211428,,,,,,,,,,,,耐震性能A
270008,,大阪府,,今池水みらいセンター,,,,松原市天美西７丁目２６５番地１号,,34.591591,135.524554,,,,,,,,,,,,耐震性能A
270008,,大阪府,,深野ポンプ場,,,,大東市南新田1丁目4番8号,,34.7026776,135.6337977,,,,,,,,,,,,耐震性能A
270008,,大阪府,,深野北ポンプ場,,,,大東市深野北2丁目171番4号,,34.725424,135.626889,,,,,,,,,,,,耐震性能A
270008,,大阪府,,氷野ポンプ場,,,,大東市大東町2-1,,34.7133735,135.622204,,,,,,,,,,,,耐震性能A
270008,,大阪府,,桑才ポンプ場,,,,門真市東田町15-1,,34.7267273,135.5941179,,,,,,,,,,,,耐震性能A
270008,,大阪府,,摂津ポンプ場,,,,摂津市鳥飼本町2丁目13番31号,,34.7842257,135.5829482,,,,,,,,,,,,耐震性能A
